boss_day,monster_day,players_online
,,
boss_day,monster_day,players_online
,,
boss_day,monster_day,players_online
,,
,,
,,
,,
,,
,,
world,players_online
Antica,231
Astera,260
Axera,53
Belobra,447
Bombra,127
Bona,112
Calmera,201
Castela,12
Celebra,293
Celesta,90
Collabra,320
Damora,73
Descubra,329
Dia,91
Epoca,13
Esmera,43
Etebra,238
Ferobra,319
Firmera,44
Gentebra,410
Gladera,260
Gravitera,65
Guerribra,368
Harmonia,77
Havera,198
Honbra,299
Impulsa,3
Inabra,544
Issobra,149
Jacabra,100
Jadebra,453
Jaguna,80
Kalibra,331
Kardera,8
Kendria,82
Lobera,338
Luminera,176
Lutabra,207
Menera,171
Monza,85
Mykera,35
Nadora,13
Nefera,297
Nevia,107
Obscubra,231
Ombra,205
Ousabra,45
Pacera,215
Peloria,94
Premia,54
Pulsera,254
Quelibra,342
Quintera,168
Rasteibra,349
Refugia,71
Retalia,17
Runera,240
Secura,150
Serdebra,337
Solidera,209
Syrena,17
Talera,233
Thyria,92
Tornabra,526
Ustebra,370
Utobra,215
Venebra,287
Vitera,54
Vunira,112
Wildera,26
Wintera,258
Yonabra,284
Yovera,209
Zuna,12
Zunera,7
